n,door,door_width,mean_time
100,True,2,30.28
100,True,4,25.2
100,True,6,25.58
100,True,8,23.28
100,False,2,22.08
100,False,4,16.6
100,False,6,14.14
100,False,8,12.42
130,True,2,34.1
130,True,4,28.84
130,True,6,25.76
130,True,8,23.94
130,False,2,22.12
130,False,4,17.32
130,False,6,14.26
130,False,8,12.52
160,True,2,42.68
160,True,4,32.72
160,True,6,30.08
160,True,8,24.98
160,False,2,24.3
160,False,4,18.38
160,False,6,14.26
160,False,8,12.68
190,True,2,55.58
190,True,4,39.98
190,True,6,32.32
190,True,8,26.54
190,False,2,28.34
190,False,4,18.86
190,False,6,15.16
190,False,8,12.76
220,True,2,68.66
220,True,4,44.66
220,True,6,35.22
220,True,8,29.74
220,False,2,37.76
220,False,4,20.64
220,False,6,15.76
220,False,8,13.68
250,True,2,93.88
250,True,4,49.62
250,True,6,40.18
250,True,8,32.94
250,False,2,45.58
250,False,4,24.38
250,False,6,17.92
250,False,8,14.2
280,True,2,120.94
280,True,4,52.98
280,True,6,42.58
280,True,8,35.98
280,False,2,60.32
280,False,4,25.94
280,False,6,18.56
280,False,8,15.76
310,True,2,144.38
310,True,4,61.3
310,True,6,46.36
310,True,8,40.16
310,False,2,72.38
310,False,4,33.84
310,False,6,20.58
310,False,8,17.26
340,True,2,162.22
340,True,4,66.76
340,True,6,51.8
340,True,8,43.92
340,False,2,79.76
340,False,4,40.22
340,False,6,23.68
340,False,8,19.22
370,True,2,185.82
370,True,4,75.28
370,True,6,56.06
370,True,8,47.02
370,False,2,97.6
370,False,4,48.52
370,False,6,26.96
370,False,8,22.5
400,True,2,197.0
400,True,4,78.58
400,True,6,58.14
400,True,8,55.36
400,False,2,98.64
400,False,4,49.68
400,False,6,30.08
400,False,8,24.64
430,True,2,217.48
430,True,4,88.4
430,True,6,66.82
430,True,8,57.34
430,False,2,113.76
430,False,4,63.06
430,False,6,35.04
430,False,8,27.8
460,True,2,234.22
460,True,4,93.16
460,True,6,73.22
460,True,8,61.22
460,False,2,114.98
460,False,4,71.34
460,False,6,38.96
460,False,8,29.46
490,True,2,251.08
490,True,4,106.28
490,True,6,80.42
490,True,8,66.36
490,False,2,128.12
490,False,4,79.38
490,False,6,39.78
490,False,8,32.3
