n,door,door_width,mean_time
100,True,2,25.76
100,False,2,17.76
110,True,2,27.4
110,False,2,18.42
120,True,2,29.52
120,False,2,17.98
100,True,4,23.58
100,False,4,14.38
110,True,4,23.58
110,False,4,15.9
120,True,4,23.48
120,False,4,14.52
100,True,6,23.1
100,True,8,22.82
100,False,6,12.78
100,False,8,12.26
110,True,6,23.08
110,True,8,22.98
110,False,6,12.68
110,False,8,12.28
120,True,6,23.1
120,True,8,23.38
120,False,6,13.18
120,False,8,12.42
130,True,2,31.2
130,True,4,25.28
130,True,6,23.02
130,True,8,22.98
130,False,2,17.94
130,False,4,15.68
130,False,6,13.42
130,False,8,12.34
140,True,2,32.2
140,True,4,24.28
140,True,6,23.04
140,True,8,23.24
140,False,2,20.12
140,False,4,15.14
140,False,6,13.0
140,False,8,12.5
150,True,2,37.26
150,True,4,25.8
150,True,6,23.64
150,True,8,23.56
150,False,2,20.46
150,False,4,15.12
150,False,6,13.06
150,False,8,12.36
160,True,2,39.44
160,True,4,26.22
160,True,6,23.66
160,True,8,23.28
160,False,2,20.68
160,False,4,15.4
160,False,6,13.54
160,False,8,12.4
170,True,2,43.4
170,True,4,27.58
170,True,6,23.54
170,True,8,23.78
170,False,2,22.72
170,False,4,15.2
170,False,6,13.1
170,False,8,12.4
180,True,2,47.88
180,True,4,28.76
180,True,6,24.3
180,True,8,23.24
180,False,2,22.84
180,False,4,15.96
180,False,6,13.86
180,False,8,12.52
190,True,2,56.88
190,True,4,29.98
190,True,6,25.02
190,True,8,23.62
190,False,2,24.6
190,False,4,16.56
190,False,6,14.14
190,False,8,12.48
