n,p_BNE,mean_time
100,0,20.16
100,10,21.68
100,20,22.34
100,30,22.76
100,40,23.26
100,50,23.28
100,60,23.64
100,70,23.56
100,80,24.54
100,90,23.4
100,100,24.18
115,0,20.66
115,10,21.58
115,20,22.78
115,30,22.64
115,40,24.0
115,50,23.4
115,60,24.44
115,70,24.06
115,80,24.3
115,90,24.3
115,100,24.64
130,0,21.66
130,10,22.1
130,20,23.28
130,30,23.6
130,40,24.52
130,50,24.78
130,60,24.7
130,70,25.0
130,80,25.92
130,90,25.06
130,100,26.22
145,0,23.98
145,10,22.68
145,20,24.18
145,30,25.0
145,40,25.02
145,50,25.24
145,60,26.16
145,70,25.94
145,80,25.94
145,90,26.6
145,100,25.98
160,0,25.16
160,10,25.28
160,20,26.54
160,30,26.62
160,40,26.44
160,50,26.8
160,60,26.9
160,70,27.64
160,80,26.96
160,90,27.38
160,100,27.84
175,0,29.26
175,10,26.38
175,20,26.92
175,30,27.58
175,40,27.94
175,50,28.22
175,60,27.98
175,70,28.52
175,80,29.32
175,90,28.62
175,100,29.86
190,0,31.74
190,10,30.28
190,20,29.72
190,30,29.92
190,40,29.62
190,50,30.98
190,60,29.98
190,70,29.94
190,80,30.58
190,90,30.98
190,100,30.54
205,0,35.2
205,10,33.14
205,20,32.48
205,30,33.58
205,40,32.46
205,50,32.44
205,60,32.48
205,70,31.72
205,80,32.48
205,90,32.48
205,100,33.88
220,0,37.88
220,10,35.98
220,20,36.32
220,30,36.86
220,40,34.98
220,50,35.26
220,60,34.82
220,70,34.2
220,80,33.42
220,90,34.66
220,100,35.8
235,0,45.4
235,10,40.94
235,20,39.86
235,30,41.02
235,40,40.52
235,50,39.0
235,60,37.94
235,70,37.62
235,80,35.94
235,90,36.94
235,100,36.7
250,0,51.6
250,10,45.32
250,20,43.48
250,30,45.52
250,40,44.2
250,50,42.78
250,60,41.24
250,70,42.0
250,80,39.48
250,90,39.2
250,100,39.84
265,0,56.34
265,10,50.3
265,20,54.62
265,30,52.2
265,40,49.3
265,50,47.0
265,60,43.78
265,70,45.62
265,80,44.4
265,90,44.12
265,100,46.6
280,0,70.76
280,10,57.04
280,20,52.94
280,30,55.14
280,40,54.14
280,50,49.38
280,60,50.6
280,70,49.24
280,80,48.76
280,90,49.58
280,100,57.1
295,0,79.92
295,10,60.58
295,20,66.48
295,30,62.98
295,40,59.96
295,50,58.58
295,60,54.82
295,70,53.52
295,80,49.98
295,90,55.6
295,100,55.7
310,0,84.86
310,10,72.0
310,20,67.28
310,30,65.44
310,40,65.36
310,50,61.82
310,60,60.88
310,70,60.34
310,80,64.32
310,90,63.84
310,100,75.54
325,0,89.28
325,10,79.62
325,20,70.52
325,30,73.18
325,40,66.74
325,50,72.98
325,60,68.28
325,70,63.34
325,80,69.86
325,90,74.44
325,100,80.82
340,0,102.28
340,10,87.92
340,20,81.6
340,30,79.44
340,40,77.96
340,50,77.88
340,60,78.08
340,70,80.24
340,80,82.14
340,90,91.68
340,100,101.4
355,0,110.22
355,10,99.72
355,20,86.62
355,30,81.62
355,40,81.1
355,50,76.72
355,60,79.5
355,70,79.82
355,80,97.16
355,90,87.64
355,100,135.3
370,0,118.86
370,10,101.18
370,20,95.44
370,30,93.16
370,40,91.42
370,50,87.86
370,60,81.6
370,70,96.76
370,80,101.5
370,90,139.26
370,100,146.02
385,0,122.0
385,10,107.04
385,20,103.34
385,30,93.78
385,40,97.86
385,50,91.52
385,60,84.68
385,70,97.76
385,80,118.74
385,90,151.86
385,100,174.36
400,0,140.76
400,10,116.1
400,20,105.76
400,30,104.94
400,40,105.34
400,50,98.72
400,60,101.32
400,70,102.92
400,80,148.3
400,90,161.26
400,100,194.36
415,0,158.86
415,10,117.04
415,20,117.12
415,30,112.6
415,40,108.68
415,50,106.52
415,60,117.9
415,70,114.08
415,80,139.4
415,90,191.04
415,100,204.98
430,0,148.3
430,10,125.42
430,20,115.84
430,30,117.74
430,40,111.46
430,50,114.3
430,60,117.32
430,70,127.12
430,80,166.6
430,90,209.4
430,100,232.44
445,0,163.86
445,10,139.38
445,20,133.8
445,30,127.52
445,40,113.52
445,50,123.56
445,60,119.48
445,70,145.02
445,80,164.06
445,90,208.46
445,100,225.98
460,0,160.12
460,10,142.74
460,20,142.7
460,30,141.2
460,40,126.38
460,50,123.22
460,60,133.6
460,70,136.24
460,80,185.84
460,90,227.82
460,100,261.62
475,0,180.92
475,10,159.88
475,20,146.72
475,30,141.72
475,40,126.16
475,50,125.22
475,60,137.64
475,70,155.02
475,80,184.6
475,90,237.6
475,100,256.04
490,0,185.18
490,10,164.3
490,20,152.84
490,30,149.32
490,40,146.72
490,50,148.3
490,60,138.48
490,70,163.24
490,80,192.26
490,90,222.84
490,100,250.02
