n,p_BNE,mean_time
100,0,20.1
100,10,22.46
100,20,23.6
100,30,24.62
100,40,25.14
100,50,25.96
100,60,26.92
100,70,27.34
100,80,27.78
100,90,27.64
100,100,28.88
115,0,20.6
115,10,23.88
115,20,24.84
115,30,25.12
115,40,27.0
115,50,27.74
115,60,27.64
115,70,29.5
115,80,29.58
115,90,30.48
115,100,32.34
130,0,22.48
130,10,24.54
130,20,24.88
130,30,26.42
130,40,28.04
130,50,28.96
130,60,30.26
130,70,31.42
130,80,32.6
130,90,33.78
130,100,34.2
145,0,23.76
145,10,22.9
145,20,24.78
145,30,24.46
145,40,25.1
145,50,25.36
145,60,26.22
145,70,26.16
145,80,25.84
145,90,26.62
145,100,25.72
160,0,24.44
160,10,26.66
160,20,27.94
160,30,30.84
160,40,30.72
160,50,34.54
160,60,34.14
160,70,36.16
160,80,37.86
160,90,37.92
160,100,38.92
175,0,27.92
175,10,29.66
175,20,31.68
175,30,32.08
175,40,33.22
175,50,36.08
175,60,36.54
175,70,38.96
175,80,39.94
175,90,41.18
175,100,42.86
190,0,32.7
190,10,30.34
190,20,31.92
190,30,34.0
190,40,35.74
190,50,37.7
190,60,39.08
190,70,41.92
190,80,42.7
190,90,46.22
190,100,47.1
205,0,34.44
205,10,34.3
205,20,34.64
205,30,36.78
205,40,38.42
205,50,40.38
205,60,43.86
205,70,44.5
205,80,45.82
205,90,48.36
205,100,53.04
220,0,39.0
220,10,35.34
220,20,36.62
220,30,37.8
220,40,41.42
220,50,41.38
220,60,46.24
220,70,47.7
220,80,52.32
220,90,51.78
220,100,55.52
235,0,41.0
235,10,36.42
235,20,38.04
235,30,43.06
235,40,44.04
235,50,44.6
235,60,47.3
235,70,50.18
235,80,51.72
235,90,56.16
235,100,58.58
250,0,46.28
250,10,42.92
250,20,42.78
250,30,44.1
250,40,46.56
250,50,50.74
250,60,50.04
250,70,54.58
250,80,55.38
250,90,56.9
250,100,62.84
265,0,47.14
265,10,45.16
265,20,48.62
265,30,48.38
265,40,49.22
265,50,51.88
265,60,50.96
265,70,55.22
265,80,56.14
265,90,59.32
265,100,60.34
280,0,51.06
280,10,47.26
280,20,48.54
280,30,50.1
280,40,52.82
280,50,57.42
280,60,57.52
280,70,59.82
280,80,60.16
280,90,63.44
280,100,65.72
295,0,59.7
295,10,53.9
295,20,53.3
295,30,54.66
295,40,57.9
295,50,58.22
295,60,58.56
295,70,61.74
295,80,67.28
295,90,69.7
295,100,64.9
310,0,68.38
310,10,58.42
310,20,58.12
310,30,58.7
310,40,58.74
310,50,60.2
310,60,64.72
310,70,64.66
310,80,67.72
310,90,73.16
310,100,68.4
325,0,69.84
325,10,63.0
325,20,62.08
325,30,60.1
325,40,60.88
325,50,61.48
325,60,62.94
325,70,66.16
325,80,71.34
325,90,73.54
325,100,76.86
340,0,78.42
340,10,66.36
340,20,66.32
340,30,69.54
340,40,66.58
340,50,64.4
340,60,68.74
340,70,68.66
340,80,70.9
340,90,82.74
340,100,87.24
355,0,78.94
355,10,67.22
355,20,73.56
355,30,69.36
355,40,67.36
355,50,69.98
355,60,68.42
355,70,73.7
355,80,74.38
355,90,80.46
355,100,86.74
370,0,78.68
370,10,78.68
370,20,76.12
370,30,71.3
370,40,69.76
370,50,69.54
370,60,70.68
370,70,75.08
370,80,78.24
370,90,83.16
370,100,96.14
385,0,101.3
385,10,79.06
385,20,79.18
385,30,72.76
385,40,77.26
385,50,74.58
385,60,77.64
385,70,78.14
385,80,79.8
385,90,95.84
385,100,97.08
400,0,92.04
400,10,92.84
400,20,87.34
400,30,78.58
400,40,81.42
400,50,84.42
400,60,81.6
400,70,83.36
400,80,85.82
400,90,99.74
400,100,108.32
415,0,106.22
415,10,105.48
415,20,88.78
415,30,88.2
415,40,84.08
415,50,77.3
415,60,85.48
415,70,85.28
415,80,90.24
415,90,97.06
415,100,100.86
430,0,113.8
430,10,98.24
430,20,93.42
430,30,94.2
430,40,83.16
430,50,87.32
430,60,94.38
430,70,96.94
430,80,97.38
430,90,115.84
430,100,116.08
445,0,125.24
445,10,105.74
445,20,97.3
445,30,94.52
445,40,95.38
445,50,89.58
445,60,91.5
445,70,95.16
445,80,99.84
445,90,103.4
445,100,118.04
460,0,125.74
460,10,113.96
460,20,103.04
460,30,96.16
460,40,94.26
460,50,92.8
460,60,103.76
460,70,102.2
460,80,113.24
460,90,128.2
460,100,141.52
475,0,139.44
475,10,124.18
475,20,116.24
475,30,104.56
475,40,97.68
475,50,104.38
475,60,103.0
475,70,113.42
475,80,120.52
475,90,120.4
475,100,142.86
490,0,135.26
490,10,136.42
490,20,123.78
490,30,114.72
490,40,110.56
490,50,107.84
490,60,106.02
490,70,111.06
490,80,122.94
490,90,136.48
490,100,147.18
